Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2016-02-24,Close entry(s) order Long,420.32,24.084778,9999.51813,123.8,1.24,807.32,8.07,-24.57,-0.25,123.8,1.24
1,Entry long,2016-02-18,Long,415.18,24.084778,9999.51813,123.8,1.24,807.32,8.07,-24.57,-0.25,123.8,1.24
2,Exit long,2016-03-02,Close entry(s) order Long,433.03,23.497262,10123.56036,51.46,0.51,262.23,2.59,-184.22,-1.82,175.25,1.75
2,Entry long,2016-02-27,Long,430.84,23.497262,10123.56036,51.46,0.51,262.23,2.59,-184.22,-1.82,175.25,1.75
3,Exit long,2016-03-13,Close entry(s) order Long,410.56,24.684638,10175.25463,-40.73,-0.40,224.38,2.21,-140.46,-1.38,134.53,1.35
3,Entry long,2016-03-08,Long,412.21,24.684638,10175.25463,-40.73,-0.40,224.38,2.21,-140.46,-1.38,134.53,1.35
4,Exit long,2016-03-19,Close entry(s) order Long,409.66,24.396439,10134.52472,-140.28,-1.38,105.88,1.04,-395.22,-3.90,-5.75,-0.06
4,Entry long,2016-03-16,Long,415.41,24.396439,10134.52472,-140.28,-1.38,105.88,1.04,-395.22,-3.90,-5.75,-0.06
5,Exit long,2016-03-25,Close entry(s) order Long,412.86,23.986573,9994.245506,-91.15,-0.91,55.89,0.56,-159.75,-1.60,-96.9,-0.97
5,Entry long,2016-03-23,Long,416.66,23.986573,9994.245506,-91.15,-0.91,55.89,0.56,-159.75,-1.60,-96.9,-0.97
6,Exit long,2016-03-30,Close entry(s) order Long,416.4,23.750141,9902.858791,-13.3,-0.13,226.58,2.29,-218.74,-2.21,-110.2,-1.10
6,Entry long,2016-03-27,Long,416.96,23.750141,9902.858791,-13.3,-0.13,226.58,2.29,-218.74,-2.21,-110.2,-1.10
7,Exit long,2016-04-09,Close entry(s) order Long,419.48,23.677926,9889.796132,42.62,0.43,165.04,1.67,-46.65,-0.47,-67.58,-0.68
7,Entry long,2016-04-02,Long,417.68,23.677926,9889.796132,42.62,0.43,165.04,1.67,-46.65,-0.47,-67.58,-0.68
8,Exit long,2016-04-19,Close entry(s) order Long,430.9,23.458707,9929.836086,178.52,1.80,273.06,2.75,-73.66,-0.74,110.94,1.11
8,Entry long,2016-04-11,Long,423.29,23.458707,9929.836086,178.52,1.80,273.06,2.75,-73.66,-0.74,110.94,1.11
9,Exit long,2016-04-28,Close entry(s) order Long,445.3,23.13398,10110.9373,190.62,1.89,817.09,8.08,-20.59,-0.20,301.56,3.02
9,Entry long,2016-04-20,Long,437.06,23.13398,10110.9373,190.62,1.89,817.09,8.08,-20.59,-0.20,301.56,3.02
10,Exit long,2016-05-11,Close entry(s) order Long,452.77,22.2828,10301.56127,-212.58,-2.06,80,0.78,-314.41,-3.05,88.98,0.89
10,Entry long,2016-05-07,Long,462.31,22.2828,10301.56127,-212.58,-2.06,80,0.78,-314.41,-3.05,88.98,0.89
11,Exit long,2016-05-17,Close entry(s) order Long,455.64,22.02931,10088.7631,-51.33,-0.51,124.47,1.23,-142.97,-1.42,37.66,0.38
11,Entry long,2016-05-14,Long,457.97,22.02931,10088.7631,-51.33,-0.51,124.47,1.23,-142.97,-1.42,37.66,0.38
12,Exit long,2016-08-10,Close entry(s) order Long,586.75,22.456107,10037.43071,3138.69,31.27,7593.98,75.66,-2.69,-0.03,3176.35,31.76
12,Entry long,2016-05-25,Long,446.98,22.456107,10037.43071,3138.69,31.27,7593.98,75.66,-2.69,-0.03,3176.35,31.76
13,Exit long,2016-09-12,Close entry(s) order Long,607.94,21.417638,13176.55925,-155.92,-1.18,344.4,2.61,-501.6,-3.81,3020.43,30.20
13,Entry long,2016-09-08,Long,615.22,21.417638,13176.55925,-155.92,-1.18,344.4,2.61,-501.6,-3.81,3020.43,30.20
14,Exit long,2016-09-21,Close entry(s) order Long,605.6,21.296082,13020.42453,-123.52,-0.95,22.57,0.17,-123.52,-0.95,2896.91,28.97
14,Entry long,2016-09-19,Long,611.4,21.296082,13020.42453,-123.52,-0.95,22.57,0.17,-123.52,-0.95,2896.91,28.97
15,Exit long,2017-04-06,Close entry(s) order Long,1132.99,21.389325,12896.9074,11336.98,87.90,16192.57,125.55,-75.72,-0.59,14233.89,142.34
