Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2015-11-11,Close entry(s) order Long,337.14,40.157417,9999.598407,3539.07,35.39,10078.71,100.79,-166.65,-1.67,3539.07,35.39
1,Entry long,2015-10-12,Long,249.01,40.157417,9999.598407,3539.07,35.39,10078.71,100.79,-166.65,-1.67,3539.07,35.39
2,Exit long,2015-12-22,Close entry(s) order Long,436.85,38.401092,13538.689,3236.83,23.91,4484.48,33.12,-192.39,-1.42,6775.9,67.76
2,Entry long,2015-11-27,Long,352.56,38.401092,13538.689,3236.83,23.91,4484.48,33.12,-192.39,-1.42,6775.9,67.76
3,Exit long,2016-03-03,Close entry(s) order Long,420.44,42.906215,16776.33007,1263.16,7.53,2475.69,14.76,-34.32,-0.20,8039.06,80.39
3,Entry long,2016-02-14,Long,391,42.906215,16776.33007,1263.16,7.53,2475.69,14.76,-34.32,-0.20,8039.06,80.39
4,Exit long,2016-05-03,Close entry(s) order Long,446.53,41.860766,18034.45521,657.63,3.65,1739.73,9.65,-99.63,-0.55,8696.69,86.97
4,Entry long,2016-04-16,Long,430.82,41.860766,18034.45521,657.63,3.65,1739.73,9.65,-99.63,-0.55,8696.69,86.97
5,Exit long,2016-05-11,Close entry(s) order Long,452.77,40.399949,18689.01641,-397.13,-2.12,133.32,0.71,-581.76,-3.11,8299.56,83.00
5,Entry long,2016-05-09,Long,462.6,40.399949,18689.01641,-397.13,-2.12,133.32,0.71,-581.76,-3.11,8299.56,83.00
6,Exit long,2016-06-23,Close entry(s) order Long,606.13,38.830312,18297.23132,5238.99,28.63,12190.39,66.62,-41.94,-0.23,13538.55,135.39
6,Entry long,2016-05-28,Long,471.21,38.830312,18297.23132,5238.99,28.63,12190.39,66.62,-41.94,-0.23,13538.55,135.39
7,Exit long,2016-09-22,Close entry(s) order Long,597,39.171501,23539.3301,-153.94,-0.65,1189.64,5.05,-357.64,-1.52,13384.6,133.85
7,Entry long,2016-09-04,Long,600.93,39.171501,23539.3301,-153.94,-0.65,1189.64,5.05,-357.64,-1.52,13384.6,133.85
8,Exit long,2016-11-13,Close entry(s) order Long,704.63,37.983599,23384.60272,3379.78,14.45,4999.02,21.38,-331.22,-1.42,16764.38,167.64
8,Entry long,2016-10-02,Long,615.65,37.983599,23384.60272,3379.78,14.45,4999.02,21.38,-331.22,-1.42,16764.38,167.64
9,Exit long,2016-11-27,Close entry(s) order Long,735.69,36.175418,26699.99076,-86.1,-0.32,569.4,2.13,-834.57,-3.13,16678.29,166.78
9,Entry long,2016-11-17,Long,738.07,36.175418,26699.99076,-86.1,-0.32,569.4,2.13,-834.57,-3.13,16678.29,166.78
10,Exit long,2016-12-06,Close entry(s) order Long,752.01,35.382342,26678.28587,-70.41,-0.26,919.94,3.45,-191.06,-0.72,16607.88,166.08
10,Entry long,2016-12-02,Long,754,35.382342,26678.28587,-70.41,-0.26,919.94,3.45,-191.06,-0.72,16607.88,166.08
11,Exit long,2017-01-07,Close entry(s) order Long,895.78,34.650633,26608.22108,4431.12,16.65,14106.27,53.01,-100.49,-0.38,21039,210.39
11,Entry long,2016-12-09,Long,767.9,34.650633,26608.22108,4431.12,16.65,14106.27,53.01,-100.49,-0.38,21039,210.39
12,Exit long,2017-01-25,Close entry(s) order Long,887,33.553497,31038.99793,-1277.05,-4.11,710.66,2.29,-1511.92,-4.87,19761.95,197.62
12,Entry long,2017-01-22,Long,925.06,33.553497,31038.99793,-1277.05,-4.11,710.66,2.29,-1511.92,-4.87,19761.95,197.62
13,Exit long,2017-03-11,Close entry(s) order Long,1111.92,32.175779,29752.62108,6024.27,20.25,14006.44,47.08,-321.76,-1.08,25786.22,257.86
13,Entry long,2017-01-29,Long,924.69,32.175779,29752.62108,6024.27,20.25,14006.44,47.08,-321.76,-1.08,25786.22,257.86
14,Exit long,2017-06-13,Close entry(s) order Long,2654.36,32.771266,35786.22247,51200.52,143.07,62527.25,174.72,-6292.08,-17.58,76986.74,769.87
14,Entry long,2017-04-02,Long,1092,32.771266,35786.22247,51200.52,143.07,62527.25,174.72,-6292.08,-17.58,76986.74,769.87
15,Exit long,2017-09-05,Close entry(s) order Long,4498.46,30.272261,86985.82837,49192.73,56.55,63770.03,73.31,-14241.58,-16.37,126179.47,1261.79
15,Entry long,2017-07-21,Long,2873.45,30.272261,86985.82837,49192.73,56.55,63770.03,73.31,-14241.58,-16.37,126179.47,1261.79
16,Exit long,2017-10-25,Close entry(s) order Long,5525.43,32.423682,136179.4644,42975.32,31.56,64493.95,47.36,-5992.87,-4.40,169154.78,1691.55
16,Entry long,2017-09-28,Long,4200,32.423682,136179.4644,42975.32,31.56,64493.95,47.36,-5992.87,-4.40,169154.78,1691.55
