time,open,high,low,close,Volume
1417392000,300,370,300,370,0
1417478400,377,378,377,378,15
1417564800,377.9,378,377.01,378,0
1417651200,377.1,377.1,377.1,377.1,0
1417824000,378,378,378,378,0
1417996800,375.01,375.01,375,375,0
1418169600,398,398,360.5,360.5,0
1418342400,379,379,350,350,3
1418860800,345,345,340,340,2
1420675200,360,360,264.81,288.99,0
1421107200,260,260,260,260,1
1421193600,200,221,109.87,120,0
1421280000,191.99,224,150,204.22,1
1421366400,210.98,225.5,189,199.46,0
1421452800,210,210,184,184,0
1421625600,210,225.51,210,225.51,0
1421712000,215,218,208,218,0
1421798400,219,225.51,219,225.51,0
1421884800,245.5,257.73,216.59,226.32,3
1421971200,230,235,215,235,0
1422057600,215,250.58,215,240,1
1422144000,248.02,256.26,245.32,254.53,479
1422230400,262.78,322.72,241.43,274.48,5176
1422316800,274.73,278.47,244.03,263.65,1604
1422403200,263.96,265.99,228.5,236.09,5301
1422489600,235.89,242,221.14,235.03,6635
1422576000,235,244.59,227.89,229.07,5760
1422662400,229,234.67,217.11,218.45,5585
1422748800,218.67,233.79,210,228.99,7220
1422835200,228.39,240.1,220.89,237.83,7421
1422921600,237.01,243.9,225.32,228.58,8303
1423008000,228.77,230.99,221.5,227.11,9132
1423094400,227.11,228.9,215,216.76,7375
1423180800,216.84,226.64,216.03,223.2,5678
1423267200,223.2,230.5,222.67,229,4079
1423353600,229.16,231.6,220,223.99,4255
1423440000,224.01,225,216.45,221.1,6526
1423526400,221.13,222,215,220.87,5387
1423612800,221.07,223.61,217.46,219.81,8959
1423699200,219.96,224.61,218,223.21,7842
1423785600,223.2,242.36,221.55,236.49,15252
1423872000,236.92,259.98,236.08,256.66,15290
1423958400,256.66,267.86,228,235.54,16918
1424044800,235.54,241,229.6,234.68,10493
1424131200,234.41,248,233,244.82,16802
1424217600,244.9,246,231.93,237.49,12900
1424304000,237.49,245,235.58,240.9,9440
1424390400,241.11,248.32,239.99,245.34,11173
1424476800,245.34,248.43,244,245.99,6196
1424563200,245.72,247.48,234.01,236.83,8246
1424649600,236.83,240.97,232,239.49,9992
1424736000,239.49,241.91,235.51,239.87,8896
1424822400,239.87,241,235.1,238.19,7795
1424908800,238.21,238.47,234.33,237.11,8534
1424995200,237.21,259,236.29,254.42,20687
1425081600,254.42,256.97,250,255.59,7465
1425168000,255.73,262,244.88,260.24,10392
1425254400,260.29,279.8,256.6,276.7,18196
1425340800,276.79,289.5,267.07,283.27,18811
1425427200,283.09,287,267.39,273.37,14711
1425513600,273.38,281.09,262.49,276.86,11598
1425600000,276.54,280,269.12,273.23,10121
1425686400,273.22,279.44,270.55,276.89,6216
1425772800,276.86,278.97,270.29,275.5,5097
1425859200,275.47,294.42,275,290.19,13738
1425945600,290.2,299.48,289.82,293.47,16245
1426032000,293.46,297.8,290.51,296.99,9756
1426118400,296.98,298.9,291.87,296.05,9617
1426204800,295.87,296.43,284,284,12018
1426291200,284.37,289,280.86,283.95,7254
1426377600,283.77,289.24,282.5,288,4393
1426464000,287.99,294.99,287.41,292.37,8834
1426550400,292.36,293.69,284.01,286.74,7772
1426636800,286.63,287,250,258.5,18682
1426723200,258.62,266.8,249.2,263,16397
1426809600,263.06,267.42,259.31,263.31,7538
1426896000,263.31,263.62,256.66,261.57,5981
1426982400,261.57,271.27,259.71,269.45,5799
1427068800,269.25,273.99,260.81,267.53,13628
1427155200,267.54,268.51,244.86,246.15,17671
1427241600,246.29,249.99,234.51,246.88,11803
1427328000,246.99,254.9,244.92,249.88,10870
1427414400,249.76,250.99,246.44,247.81,8422
1427500800,247.93,254.99,247.81,253.52,5857
1427587200,253.6,254,241,243.69,8497
1427673600,243.6,250.06,237.94,248.78,11461
1427760000,248.78,249.98,242.87,245.5,8064
1427846400,245.5,248.22,241.07,247.87,9876
1427932800,247.5,255.24,245.8,254.39,8635
1428019200,254.79,257.43,252.59,254.84,7169
1428105600,255,256.6,251.26,254.37,4269
1428192000,254.37,262,252.06,261.47,5153
1428278400,261.49,263,255,256.85,7489
1428364800,256.84,258.7,253.45,254.27,7843
