time,open,high,low,close
1747332000,1.11714,1.11795,1.11711,1.11717
1747333800,1.11717,1.11792,1.11713,1.11769
1747335600,1.11769,1.1181,1.1173,1.11808
1747337400,1.11808,1.11863,1.11801,1.11837
1747339200,1.11837,1.11875,1.11833,1.11862
1747341000,1.11862,1.11873,1.1182,1.11824
1747342800,1.11855,1.11876,1.11793,1.118
1747344600,1.118,1.11892,1.11792,1.11872
1747346400,1.11872,1.119,1.11851,1.1187
1747348200,1.1187,1.11933,1.1187,1.11919
1747350000,1.11919,1.11938,1.11897,1.11914
1747351800,1.11914,1.11938,1.11899,1.11921
1747353600,1.11921,1.12021,1.11907,1.11962
1747355400,1.11962,1.12082,1.11961,1.12047
1747357200,1.12047,1.12065,1.11987,1.11993
1747359000,1.11993,1.12085,1.11985,1.12036
1747360800,1.12036,1.12084,1.12015,1.12053
1747362600,1.12053,1.12064,1.11996,1.12025
1747364400,1.12025,1.12044,1.11992,1.12024
1747366200,1.12024,1.12056,1.12006,1.12008
1747368000,1.12008,1.12015,1.11966,1.11994
1747369800,1.11994,1.12044,1.11977,1.12031
1747371600,1.12031,1.12143,1.12011,1.12076
1747373400,1.12076,1.12189,1.12057,1.12155
1747375200,1.12155,1.12195,1.12073,1.12177
1747377000,1.12177,1.1219,1.12104,1.12125
1747378800,1.12125,1.12174,1.12074,1.1214
1747380600,1.1214,1.12164,1.12065,1.12091
1747382400,1.12091,1.12093,1.11988,1.12023
1747384200,1.12023,1.12072,1.11974,1.11993
1747386000,1.11993,1.12087,1.11973,1.12074
1747387800,1.12074,1.12081,1.11918,1.11948
1747389600,1.11948,1.11965,1.11886,1.11934
1747391400,1.11934,1.11999,1.11884,1.11998
1747393200,1.11998,1.1208,1.11993,1.1202
1747395000,1.1202,1.12026,1.11905,1.11947
1747396800,1.11947,1.11987,1.11912,1.11963
1747398600,1.11963,1.11986,1.11918,1.11971
1747400400,1.11971,1.12015,1.11904,1.11904
1747402200,1.11904,1.12058,1.11885,1.12004
1747404000,1.12004,1.1202,1.11802,1.11817
1747405800,1.11817,1.11844,1.1152,1.11548
1747407600,1.11548,1.11588,1.1142,1.11437
1747409400,1.11437,1.11502,1.11402,1.11406
1747411200,1.11406,1.11479,1.11313,1.11374
1747413000,1.11374,1.11465,1.11354,1.11448
1747414800,1.11448,1.11477,1.114,1.1144
1747416600,1.1144,1.11458,1.11398,1.11449
1747418400,1.11449,1.11475,1.11434,1.11468
1747420200,1.11468,1.11553,1.11444,1.11525
1747422000,1.11525,1.11584,1.11514,1.11555
1747423800,1.11555,1.11559,1.11477,1.11492
1747425600,1.11492,1.11528,1.11481,1.11482
1747427400,1.11482,1.1167,1.11449,1.11628
1747602120,1.11743,1.11831,1.11728,1.11784
1747603920,1.11787,1.11795,1.11688,1.11755
1747605720,1.11755,1.11902,1.11755,1.11887
1747607520,1.11887,1.11941,1.11848,1.11902
1747609320,1.11902,1.11939,1.11902,1.11916
1747611120,1.11916,1.11919,1.1182,1.11878
1747612920,1.11878,1.11923,1.11828,1.11862
1747614720,1.11862,1.1199,1.11805,1.11973
1747616520,1.11973,1.11978,1.11803,1.11822
1747618320,1.11822,1.1185,1.11734,1.11761
1747620120,1.11761,1.11883,1.11726,1.11863
1747621920,1.11863,1.11863,1.11771,1.11802
1747623720,1.11802,1.11853,1.11801,1.11827
1747625520,1.11827,1.11848,1.11791,1.11799
1747627320,1.11799,1.1187,1.11775,1.11869
1747629120,1.11869,1.11874,1.11812,1.11853
1747630920,1.11853,1.11883,1.11837,1.11858
1747632720,1.11858,1.11861,1.11767,1.11839
1747634520,1.11839,1.12065,1.11828,1.12057
1747636320,1.12057,1.12123,1.12028,1.12077
1747638120,1.12077,1.12309,1.12064,1.12302
1747639920,1.12302,1.12451,1.12292,1.12385
1747641720,1.12385,1.12507,1.12375,1.12486
1747643520,1.12486,1.12591,1.12406,1.1259
1747645320,1.1259,1.12737,1.12583,1.12675
1747647120,1.12675,1.12805,1.12654,1.12781
1747648920,1.12781,1.12841,1.12726,1.12736
1747650720,1.12736,1.12882,1.12689,1.12744
1747652520,1.12744,1.12784,1.12673,1.12678
1747654320,1.12678,1.12734,1.12623,1.12727
1747656120,1.12727,1.12732,1.12586,1.12614
1747657920,1.12614,1.12673,1.12539,1.12561
1747659720,1.12561,1.1265,1.12491,1.12588
1747661520,1.12588,1.12591,1.12474,1.1249
1747663320,1.1249,1.12538,1.12424,1.12454
1747665120,1.12454,1.12577,1.12419,1.12528
1747666920,1.12528,1.12599,1.12489,1.12536
1747668720,1.12536,1.12551,1.12337,1.12361
1747670520,1.12361,1.12397,1.12297,1.12385
1747672320,1.12385,1.12394,1.12326,1.12373
1747674120,1.12373,1.12386,1.12244,1.12324
1747675920,1.12324,1.12331,1.12274,1.12286
1747677720,1.12286,1.12305,1.12249,1.12287
1747679520,1.12287,1.12367,1.12277,1.12347
1747681320,1.12347,1.12383,1.12343,1.12345
1747683120,1.12345,1.1242,1.12329,1.12406
1747684920,1.12406,1.12447,1.12393,1.12414
1747686720,1.12414,1.12439,1.12389,1.12399
1747688400,1.12335,1.1242,1.12335,1.1241
1747690200,1.1241,1.12421,1.12402,1.12421
1747692000,1.12415,1.1244,1.12368,1.12406
1747693800,1.12406,1.1241,1.12351,1.12353
1747695600,1.12353,1.12364,1.12319,1.12344
1747697400,1.12344,1.12352,1.12318,1.12327
1747699200,1.12327,1.12327,1.12213,1.12219
1747701000,1.12219,1.1228,1.12184,1.12278
1747702800,1.12278,1.12512,1.12278,1.12453
1747704600,1.12453,1.12462,1.12361,1.12386
1747706400,1.12386,1.12462,1.12383,1.12437
1747708200,1.12437,1.12448,1.12264,1.12323
1747710000,1.12323,1.1244,1.12296,1.12431
1747711800,1.12431,1.12476,1.12412,1.1245
1747713600,1.1245,1.12475,1.12426,1.12457
1747715400,1.12457,1.12505,1.12407,1.12426
1747717200,1.12426,1.1257,1.12421,1.12565
1747719000,1.12565,1.12584,1.12483,1.12544
1747720800,1.12544,1.12622,1.12511,1.12542
1747722600,1.12542,1.1261,1.12517,1.12575
1747724400,1.12575,1.12736,1.12531,1.1271
1747726200,1.1271,1.12778,1.12662,1.12763
1747728000,1.12763,1.12763,1.12596,1.12613
1747729800,1.12613,1.12658,1.12478,1.12583
1747731600,1.12583,1.12671,1.12565,1.12611
1747733400,1.12611,1.12614,1.12502,1.12552
1747735200,1.12552,1.12577,1.12436,1.1247
1747737000,1.1247,1.12485,1.12434,1.12448
1747738800,1.12448,1.12517,1.12444,1.1249
1747740600,1.1249,1.12499,1.12442,1.12461
1747742400,1.12461,1.12475,1.1224,1.12281
1747744200,1.12281,1.12366,1.1227,1.12343
1747746000,1.12343,1.12344,1.12252,1.12329
1747747800,1.12329,1.12496,1.12308,1.12458
1747749600,1.12458,1.12681,1.12456,1.12633
1747751400,1.12633,1.1269,1.12529,1.12685
1747753200,1.12685,1.12697,1.12549,1.12597
1747755000,1.12597,1.12599,1.12499,1.12532
1747756800,1.12532,1.12578,1.12459,1.12479
1747758600,1.12479,1.12577,1.12455,1.12566
1747760400,1.12566,1.1267,1.12548,1.12666
1747762200,1.12666,1.12774,1.12661,1.12737
1747764000,1.12737,1.12802,1.12714,1.12787
1747765800,1.12787,1.12789,1.12715,1.12728
1747767600,1.12728,1.12803,1.12722,1.12786
1747769400,1.12786,1.12826,1.12777,1.12804
1747771200,1.12804,1.12849,1.12784,1.12836
1747773000,1.12836,1.12859,1.1281,1.12836
1747774800,1.12795,1.12832,1.12785,1.12813
1747776600,1.12813,1.12847,1.12799,1.12814
1747778400,1.12812,1.12867,1.12808,1.12814
1747780200,1.12814,1.12839,1.12805,1.1281
1747782000,1.1281,1.12886,1.12806,1.12873
1747783800,1.12873,1.12899,1.12837,1.12881
1747785600,1.12881,1.12981,1.12876,1.12971
1747787400,1.12971,1.13012,1.12887,1.12953
1747789200,1.12953,1.13027,1.12881,1.12888
1747791000,1.12888,1.12994,1.1287,1.12983
1747792800,1.12983,1.13224,1.1297,1.13187
1747794600,1.13187,1.1326,1.13143,1.1322
1747796400,1.1322,1.13263,1.13195,1.13235
1747798200,1.13235,1.13397,1.13235,1.1334
1747800000,1.1334,1.13352,1.13261,1.13288
1747801800,1.13288,1.13366,1.13268,1.13293
1747803600,1.13293,1.13378,1.13269,1.13358
1747805400,1.13358,1.1336,1.13288,1.13319
1747807200,1.13319,1.13498,1.13226,1.13461
1747809000,1.13461,1.1353,1.13315,1.13331
1747810800,1.13331,1.13343,1.13144,1.13273
1747812600,1.13273,1.13327,1.13202,1.13235
1747814400,1.13235,1.13339,1.13219,1.13233
1747816200,1.13233,1.13243,1.13124,1.13224
1747818000,1.13224,1.13293,1.13151,1.1318
1747819800,1.1318,1.13348,1.13161,1.13347
1747821600,1.13347,1.13613,1.13313,1.13596
1747823400,1.13596,1.13619,1.13384,1.1339
1747825200,1.1339,1.13446,1.13345,1.13385
1747827000,1.13385,1.13393,1.13192,1.13241
1747828800,1.13241,1.13292,1.1319,1.13231
1747830600,1.13231,1.13347,1.13175,1.13346
1747832400,1.13346,1.13388,1.13246,1.13307
1747834200,1.13307,1.13384,1.13236,1.13368
1747836000,1.13368,1.13542,1.13328,1.1336
1747837800,1.1336,1.13471,1.13346,1.13409
1747839600,1.13409,1.13483,1.13349,1.13391
1747841400,1.13391,1.13455,1.13327,1.13427
1747843200,1.13427,1.13521,1.13393,1.13413
1747845000,1.13413,1.13435,1.13394,1.13407
1747846800,1.13407,1.13628,1.13393,1.13566
1747848600,1.13566,1.13573,1.13379,1.13481
1747850400,1.13481,1.13488,1.13342,1.13395
1747852200,1.13395,1.13425,1.1332,1.13335
1747854000,1.13335,1.13392,1.13287,1.13297
1747855800,1.13297,1.13304,1.13184,1.13189
1747857600,1.13189,1.13281,1.13157,1.13275
1747859400,1.13275,1.13318,1.13275,1.13281
1747861200,1.13254,1.13287,1.1324,1.13284
1747863000,1.13267,1.13292,1.13262,1.13292
1747864800,1.13285,1.13304,1.13153,1.13224
1747866600,1.13224,1.13245,1.1315,1.13153
1747868400,1.13153,1.13247,1.13108,1.13246
1747870200,1.13246,1.13324,1.13233,1.1332
1747872000,1.1332,1.13435,1.13316,1.13353
1747873800,1.13353,1.13361,1.13264,1.13276
1747875600,1.13276,1.13403,1.13177,1.13376
1747877400,1.13376,1.13407,1.13288,1.13376
1747879200,1.13376,1.13431,1.13287,1.13389
1747881000,1.13389,1.13449,1.1337,1.1339
1747882800,1.1339,1.1342,1.13357,1.13373
1747884600,1.13373,1.13393,1.13311,1.1333
1747886400,1.1333,1.13337,1.13272,1.13304
1747888200,1.13304,1.13343,1.13251,1.13331
1747890000,1.13331,1.13337,1.13263,1.13302
1747891800,1.13302,1.13353,1.13252,1.13334
1747893600,1.13334,1.1342,1.13304,1.13348
