time,open,high,low,close,Volume
1336597200,1.2937,1.2979,1.2924,1.2935,14709
1336683600,1.2936,1.2957,1.2905,1.2922,13504
1336942920,1.2893,1.2904,1.2815,1.2829,13487
1337029200,1.2828,1.2869,1.2721,1.2733,15517
1337115600,1.2734,1.2759,1.2681,1.2722,17944
1337202000,1.2721,1.2749,1.2666,1.2695,17104
1337288400,1.2694,1.2785,1.2642,1.2774,17320
1337547720,1.2754,1.2824,1.2725,1.281,13916
1337634000,1.2809,1.2814,1.2658,1.2677,15562
1337720400,1.2678,1.2687,1.2545,1.2594,18778
1337806800,1.2595,1.262,1.2515,1.2538,19205
1337893200,1.2537,1.2602,1.2496,1.2512,15367
1338152520,1.2575,1.2624,1.2525,1.2539,11039
1338238800,1.2538,1.2574,1.2461,1.2477,16771
1338325200,1.2476,1.2487,1.2361,1.2368,17442
1338411600,1.2367,1.2428,1.2336,1.2363,17697
1338498000,1.2364,1.2457,1.2288,1.2419,20323
1338757320,1.2421,1.2509,1.2386,1.2504,14274
1338843600,1.2505,1.2542,1.241,1.2451,16285
1338930000,1.245,1.2585,1.2441,1.2573,19345
1339016400,1.2572,1.2625,1.254,1.2567,18820
1339102800,1.2566,1.2574,1.2435,1.25,17341
1339362120,1.2637,1.2649,1.245,1.2467,19159
1339448400,1.2466,1.2529,1.2442,1.2513,19345
1339534800,1.2512,1.261,1.2473,1.257,17662
1339621200,1.2569,1.2637,1.2542,1.2624,17668
1339707600,1.2623,1.2659,1.2592,1.2658,13866
1339966920,1.2719,1.2727,1.2557,1.2583,18844
1340053200,1.2584,1.273,1.2568,1.2686,17311
1340139600,1.2685,1.2743,1.2637,1.2691,18330
1340226000,1.269,1.2699,1.2531,1.2545,19595
1340312400,1.2546,1.2583,1.2519,1.2562,14602
1340571720,1.2542,1.2544,1.2471,1.2502,12443
1340658000,1.2503,1.253,1.2441,1.249,14737
1340744400,1.2491,1.2508,1.2445,1.2473,11696
1340830800,1.2474,1.2524,1.2407,1.2447,16044
1340917200,1.2446,1.2692,1.2432,1.2655,20698
1341176520,1.2657,1.2667,1.2568,1.2584,13803
1341262800,1.2583,1.2627,1.2559,1.2604,10924
1341349200,1.2603,1.2607,1.2508,1.2519,10550
