time,open,high,low,close,Volume
1463961600,13.91,13.91,13.61,13.61,1
1464048000,13.68,13.74,12,12.77,2754
1464134400,13,13.18,11.93,12.61,9696
1464220800,12.61,12.95,12.15,12.47,2993
1464307200,12.47,12.47,10.25,10.98,19329
1464393600,11.3,12.44,10.7,12.02,15673
1464480000,12.02,12.49,11.7,12.34,3385
1464566400,12.35,12.88,12,12.88,4124
1464652800,12.84,14.24,12.37,14.16,5807
1464739200,14.15,14.45,13.5,13.93,10389
1464825600,13.93,14.18,13.76,14.03,8048
1464912000,14.03,14.12,13.49,13.98,13004
1464998400,13.98,14.03,13.56,13.95,6250
1465084800,13.97,14.06,13.8,14.04,1953
1465171200,14.02,14.3,13.83,14.22,5142
1465257600,14.21,14.69,13.97,14.52,13016
1465344000,14.53,14.87,14.4,14.64,12617
1465430400,14.64,14.85,14.55,14.71,8224
1465516800,14.61,14.74,13.76,13.91,17340
1465603200,13.93,14.29,13.86,14.1,7581
1465689600,14.14,15.91,13.92,15.58,20332
1465776000,15.91,17.93,15.49,17.89,24121
1465862400,17.86,19.08,16.96,18.79,35326
1465948800,18.79,18.81,17.89,18.42,13614
1466035200,18.51,21.35,18.5,20.99,34245
1466121600,20.99,22,13.75,15.65,123080
1466208000,15.64,15.74,10,11.64,80846
1466294400,11.55,13.4,10.72,12.35,28839
1466380800,12.35,12.74,10.8,11.81,34635
1466467200,11.44,13.89,11.2,13.89,32070
1466553600,13.3,15.89,13.07,13.18,68057
1466640000,13.18,14.5,12.68,13.81,34445
1466726400,13.98,14.8,13.25,14.55,32283
1466812800,14.55,14.74,14,14.37,10305
1466899200,14.39,14.49,13.6,14.02,7488
1466985600,14,14.59,13.85,14.1,10082
1467072000,14.06,14.25,11.52,12.23,42382
1467158400,12.16,13.13,11.62,12.74,26010
1467244800,12.7,13.06,12.19,12.49,12663
1467331200,12.48,12.54,11.8,12.34,19198
1467417600,12.28,12.45,12,12.09,11823
1467504000,12.16,12.16,11.65,12.02,11726
1467590400,11.94,11.99,11.41,11.48,5533
1467676800,11.45,11.48,9.31,10.6,34516
1467763200,10.6,11,10.24,10.61,14283
1467849600,10.6,10.7,9.75,10.08,21332
1467936000,10.08,11.8,10.05,11.43,27624
1468022400,11.39,11.57,10.68,11.01,9084
1468108800,11.02,11.3,10.9,11.02,9663
1468195200,11,11.16,10.11,10.72,11105
1468281600,10.65,10.98,10.5,10.57,13925
1468368000,10.58,10.65,10.49,10.49,5528
1468454400,10.5,11.78,10.33,11.62,25197
1468540800,11.56,12.75,11.4,11.99,24305
1468627200,11.98,12.4,11.79,11.8,7836
1468713600,11.81,11.92,11.02,11.33,12643
1468800000,11.27,11.93,11,11.05,14256
1468886400,11.08,11.98,11.07,11.75,7850
1468972800,11.7,13,11.22,12.5,39981
1469059200,12.53,13.09,12.1,12.76,72258
1469145600,12.76,15.11,12.73,14.83,199026
1469232000,14.99,15.39,14,14.52,115668
1469318400,14.52,14.57,12.05,12.78,140552
1469404800,12.71,14.01,12.61,13.91,101996
1469491200,13.93,13.95,11.88,12,165972
1469577600,12,13.4,11.75,13.1,109892
1469664000,13.1,13.14,12.53,12.93,65895
1469750400,12.93,12.95,12.57,12.84,53554
1469836800,12.84,12.88,12.49,12.49,38705
1469923200,12.49,12.67,11.61,11.99,57172
1470009600,11.98,12.12,10.8,10.95,91878
1470096000,10.9,11.31,6.68,8.78,195127
1470182400,8.68,10.78,8.54,10.68,215564
1470268800,10.6,11.55,10.42,11.32,99086
1470355200,11.3,11.4,10.81,11.18,47195
1470441600,11.18,11.18,10.42,11.01,34947
1470528000,11,11.25,10.84,10.99,30014
1470614400,10.99,11.42,10.94,11.34,30913
1470700800,11.33,12.48,11.24,12.28,84418
1470787200,12.28,12.91,11.87,12.21,146625
1470873600,12.22,12.39,11.6,11.73,54926
1470960000,11.73,12.08,11.65,11.81,30659
1471046400,11.8,11.86,11.54,11.61,28358
1471132800,11.61,11.76,11.2,11.28,25767
1471219200,11.28,11.52,11.02,11.3,33103
1471305600,11.3,11.38,11,11.18,50994
1471392000,11.18,11.26,10.69,10.82,40020
1471478400,10.82,11.06,10.76,10.77,35774
1471564800,10.77,10.86,10.65,10.77,29161
1471651200,10.77,11.37,10.7,11.3,35228
1471737600,11.3,11.3,10.98,11.21,17981
1471824000,11.17,11.34,11.04,11.1,36429
1471910400,11.1,11.2,10.85,11,32526
1471996800,11,11.16,10.98,11.01,24010
1472083200,11.01,11.35,10.99,11.34,28922
1472169600,11.34,11.47,11.2,11.28,27284
1472256000,11.27,11.28,11.17,11.18,20473
1472342400,11.18,11.19,10.97,11.01,18631
1472428800,11.01,11.16,10.8,10.95,31674
1472515200,10.95,11.25,10.95,11.21,26060
1472601600,11.21,11.7,11.09,11.7,37751
1472688000,11.66,12.5,11.57,12.05,86906
1472774400,12.04,12.35,11.95,12.15,40611
1472860800,12.15,12.47,11.6,11.88,37617
1472947200,11.84,11.88,11.54,11.77,19069
1473033600,11.77,11.84,11.62,11.76,14026
1473120000,11.75,11.76,11.5,11.71,27143
1473206400,11.75,11.9,11.53,11.58,33494
1473292800,11.55,11.7,11.31,11.39,31902
1473379200,11.39,11.69,11.34,11.64,21350
1473465600,11.64,12.21,11.55,12.21,20041
1473552000,12.2,12.21,11.6,11.65,25258
1473638400,11.64,11.95,11.64,11.86,20980
1473724800,11.87,12.08,11.84,11.92,29455
1473811200,11.92,12.03,11.8,11.91,24232
1473897600,11.91,12.1,11.91,11.96,23149
1473984000,11.95,12.76,11.86,12.58,56258
1474070400,12.58,12.99,12.41,12.79,33760
1474156800,12.8,12.98,12.33,12.64,55606
1474243200,12.64,13.2,12.61,13.17,40035
1474329600,13.18,15.25,13.1,14.56,103027
1474416000,14.98,15.2,13.16,13.76,86865
1474502400,13.77,13.77,12.33,13.2,69151
1474588800,13.21,13.45,13.14,13.37,25425
1474675200,13.37,13.41,12.62,12.97,36729
1474761600,12.96,13.18,12.8,13.12,19599
1474848000,13.14,13.15,12.83,12.84,23591
1474934400,12.85,13.25,12.85,13.09,28003
1475020800,13.09,13.58,13.09,13.32,43264
1475107200,13.31,13.39,13.1,13.11,36882
1475193600,13.11,13.39,13.08,13.23,33009
1475280000,13.23,13.31,13.09,13.22,32851
1475366400,13.23,13.31,13.19,13.28,20494
1475452800,13.29,13.56,13.25,13.51,36073
1475539200,13.52,13.58,13.24,13.32,54540
1475625600,13.34,13.45,13.08,13.09,36947
1475712000,13.09,13.18,12.68,12.86,48467
1475798400,12.88,13.08,12.5,12.7,53434
1475884800,12.7,12.74,12.06,12.26,32848
1475971200,12.22,12.43,12.02,12.1,24635
1476057600,12.1,12.18,11.62,11.78,48906
1476144000,11.78,12.24,11.7,11.77,37423
1476230400,11.77,12.11,11.68,11.92,35948
1476316800,11.92,12.11,11.72,11.87,33557
1476403200,11.88,12.07,11.84,11.92,36671
1476489600,11.91,11.97,11.78,11.95,21306
1476576000,11.96,12.05,11.9,11.95,16417
1476662400,11.95,11.99,11.83,11.96,29067
1476748800,11.96,12.94,11.95,12.54,46036
